Country,Name,Description
Botswana,Omang (National Identity Card),"It is compulsory for all citizens at age 16, and there are penalties for not obtaining it within one month of turning 16 or obtaining citizenship, whichever comes last. Includes the image of the individual (no headgear or eyewear), their particulars, and their right thumbprint. Valid for 10 years, whereupon it must be renewed and a new photograph taken. Must be presented upon request by any agent of the state, and the state requires all non-state institutions to use the national ID card as the only acceptable means of identification for citizens – passports and driver's licences should not be used, even though they contain most of the information on the ID card, including the ID card number. There are penalties for being issued a replacement card when it has been lost, however, if it is changed to update information on it only the application fee must be paid (e.g., upon expiry, and legal name changes as when a woman gets married and assumes her husband's surname). Every time a new one is issued for whatever reason, a new photograph must be taken. The individual keeps their national ID card number for life, and in recent years it has been linked to the birth certificate number of newborn infants (it is the same number). The national ID card must be surrendered to the government upon the demise of the individual, at which time it will be exchanged for an official death certificate."
Brazil,Cédula de Identidade (Identity Card),"Compulsory to be issued since the age of 18 (though it can be substituted by a series of equivalent documents, see below). It is usually issued, for civilians, by the secretariat of public security of each unit of the federation, but other – including the Armed Forces, the Police and some professional councils – can issue alternate identity cards, too. All must meet certain specifications – they are all coloured green – but each unit of the federation can include minor differences such as the numbering scheme, font, printed seal, and background pattern.The card's front has the bearer's picture (with an electronic stamp on it) and right thumb print. It also includes either the bearer's signature or – if the bearer is illiterate – the phrase ""cannot sign"" (não assina) The verso has the unique number assigned the bearer (registro geral or RG), the bearer's full name, filiation, birthplace (locality and federation unit), birth date, and CPF number. It may include some additional information. It is officially 102 × 68 mm,[10] but lamination tends to make it slightly larger than the ISO/IEC 7810 ID-2 standard of 105 × 74 mm, so it is a tight fit in most wallets. A driver's licence has only recently been given the same legal status as the national identity card. In most situations, only a few other documents can be substituted for a national identity card: for example, identification documents issued by national councils of professionals."
Brunei,Kad Pengenalan (National Identity Card),Compulsory for all citizens at the age of 12.[11]
Bulgaria,Лична карта (Identity Card),"First issued and is compulsory after turning the age of 14. The new Bulgarian ID cards were introduced in 1999. They follow the general pattern in the EU and replaced the old, Soviet-style ""internal passports"", also known as ""green passports"". Since 2007, the Bulgarian identity card can be used to travel within the European Union."
Burkina Faso,Carte d'Identité Nationale Burkinabè (CNIB) [Burkinabé National Identity Card],National Identity Card compulsory at the age of 15 and valid for 10 years.[12]
Burundi,Carte Nationale d'Identité (CNI) [National Identity Card],National Identity Card compulsory. Valid for international travel within the East African Community.[13]
Cambodia,Khmer Identity Card,Compulsory and biometric since 2011.[14]
Cameroon,Carte nationale d'identité / national identity card,"Optional, although compulsory for voting, acquisition of both passports and driving licenses and for certain government transactions.[15][16]"
Cape Verde,Cartão Nacional de Identificação (CNI) [National Identity Card],"The Cape Verdian national identity card (referred as “Citizen card”) is an electronic biometric ID card, compulsory for all Cape Verdian nationals. The card format is identical to the Portuguese Citizen card, with information displayed in Portuguese, English and French and is made by the same company, also in Portugal. New biometric identity cards are being issued since 2018, replacing the format paper (similar to the old Portuguese identity card) which was issued since 1957."
Central African Republic,Carte nationale d'identité (National identity card),Compulsory.[17]
Chad,Carte nationale d'identité (National Identity Card),Compulsory with a price of 10.000 CFA.[18]
Chile,Cédula de identidad (Identity card),"Normally this is first issued at age 2 or 3, but it can be issued whenever the legal ascendant(s) request its issue. It is compulsory at 18, when it has to be carried at all times."
China,Resident Identity Card (居民身份证),"Normally this is first issued at school age, but it can be issued whenever the legal ascendant(s) request its issue."
Colombia,Documento de Identidad / Cédula de Ciudadanía (Identity document),"Registro Civil de Nacimiento (Birth record) issued when the legal ascendant(s) register the newborn.[19] Tarjeta de identidad is issued aged 7. From 26 June 2013, is available the new format (coloured sky blue) with biometric features. The previous format (coloured pink) is still valid until the minor reaches 14, when he or she has to request the new sky blue format.[20] Cédula de Ciudadanía is compulsory at the age of 18, and from 31 July 2010, the only valid format is the yellow one. It has to be carried at all times and must be presented to police or the military upon their request.At end of 2020, a new Electronic Identity Document is being issued with had to be renewed every 10 years, it allows to carry a physical card and also available through a mobile application[21]"
Comoros,Carte nationale d’identité (Comoros national identity card),"The Comorian national identity card is an ID card, compulsory for all Comorian nationals. Biometric since January 2018."
"Congo, Republic of the",Carte nationale d'identité (national identity card),Compulsory at the age of 18.
Costa Rica,Cédula de identidad (Costa Rica),Every citizen immediately must carry an ID card after turning 18.
Croatia,Osobna iskaznica (Personal card),"The Croatian identity card is compulsory for citizens of Croatia who have a permanent residence in Croatia and are at least 18 years old. By law, it must to be carried at all times."
Cuba,Carnet de identidad (Identity card),Compulsory for anyone 16 and older and must be carried at all times. It is routinely used for identification and is often necessary to conduct public and private business.
Cyprus,"Greek: Δελτίο Ταυτότητας
Turkish: Kimlik Kartı (Identity card)",Compulsory at 12.
Czech Republic,Občanský průkaz (Civil card),Compulsory at 15 for those with a permanent stay registered in the country.
Djibouti,Carte nationale d'identité/ بطاقة الهوية الوطنية (national identity card),Compulsory for all Djiboutians. Electronic since 2014.[22]
Dominican Republic,Cédula de Identidad y Electoral (CIE)(Personality Verification Card),"If needed, an underage ID card may be obtained at the age of 16, yet the official ID (which will allow the individual to vote) is obtained at 18."
East Timor,Bilhete de Identidade (Identity Card),"Compulsory for all East Timorese citizens. Issued since 2018, with EU and Portuguese funds.[23]"
Ecuador,Cédula de Identidad (National identity card),Every citizen over 18 years must have a national identity card. The renewal of the card is $10.00.[24][25][26]
Egypt,بطاقة تحقيق الشخصية (Personality Verification Card),The Personality Verification Card is compulsory at the age of 16. Issued by the Civil Registry Office which is subordinate to the Ministry of Interior. Not carrying the ID card is only penalised by fine not exceeding £E200.
El Salvador,Documento Único de Identidad (Unique Identity Document),Every citizen 18 years or older must carry this ID card.
Equatorial Guinea,Documento de Identidad Personal (Personal Identity Document),Compulsory to all citizens.[citation needed]
Eritrea,ሃገራዊ ናይ መንነት ወረቀት (National identity card),Compulsory for all Eritrean citizens. New version rolled out in 2014.[27][28]
Estonia,Isikutunnistus (Identity card),"Compulsory by law, but there is no penalty for not having one. Many electronic services are available (legally binding digital signatures, internet banking, internet voting, strong authentication to government and private websites). Citizens carrying ID cards are not required to carry drivers licence and registration."
Eswatini,National ID card,Compulsory for all citizens of the Kingdom of Eswatini.
Gabon,Carte Nationale d'identité (National Identity card),Compulsory.[29]
Gambia,Gambian National Identity Card,All Gambian citizens 18 years or older are required to hold a Gambian National ID Card.
Georgia,ეროვნული პირადობის მოწმობა (National identity card),Compulsory for Georgian citizens after turning 14 (within 6 months). Valid for international travel to Turkey.[30]
Ghana,Ghana Card,Compulsory for Ghanaian citizens above 16.
Greece,Αστυνομική Ταυτότητα (Police Identity Card),"In Greece, the biggest change in the Identity Documents Law happened in 2000, when some fields of the Police Identity Card (as Greeks call it) were rejected. These fields included religion, addresses, biometric characteristics and a fingerprint. Conversely, some fields were added: Latin transliterations of name and surname and blood type of the owner. Under this law, all Greeks over 12 years old must have an Identity Card issued.In Greece, there are many everyday things one cannot do without an ID. In fact, according to an older law, the Police ID is the only legal identity document and no one has a right to ask for more identity documents. Since the 1980s all legal services in Greece must be done with this ID. It is possible to travel within the EU using a Greek national ID card, although it may cause delays at border controls because those cards do not have machine-readable zones. Carrying any ID is not de jure compulsory. However, during routine police checks, if a citizen is found without an ID, the police officer may take them to the nearest police station for further investigation, thus rendering always carrying the ID card de facto compulsory."
Guatemala,Documento Personal de Identificación (National Identity Document),"Identity cards are issued to any Guatemalan and legal residents. For children between 0 and 12 years the document is golden shaded; between 13 and 17 years the document is silvered.[31] Documents for Guatemalan citizens are blue[32] and for legal residents are red.[33]Guatemalan constitution requires personal identification via documentation, person rooting or the government. If the person cannot be identified may be sent to a judge until identification is provided.[34]"
Guinea,Carte nationale d'identité (National identity card),Compulsory with a price of 100.000/150.000 CFA.
Guinea-Bissau,Bilhete de identidade CEDEAO (CEDEAO national identity card),"Biometric since 2018, with a price of 10,000 CFA.[35]"
Guyana,Guyana national identity card,"The Guyanese national identity card is an electronic ID card, compulsory for all Guyanese nationals."
Haiti,Kat idantifikasyon nasyonal / Carte d'identification nationale (National identification card),"The Haitian national identity card is an electronic ID card, compulsory for all Haitian nationals at the age of 18."
Honduras,Cédula de identidad (national identity card),"The Honduran national identity card is an electronic ID card, compulsory for all Honduran nationals at the age of 18.[36]"
Hong Kong,Hong Kong Identity Card (HKID),"Identity cards have been used since 1949, and been compulsory since 1980. Children are required to obtain their first identity card at age 11, and must change to an adult identity card at age 18.Police officers have an absolute right to require every person aged 15 or above on public premises to produce their HKID or valid passport for inspection; failure to produce such photo ID constitutes an offence in law. The reason for setting up police random checks is due to the end of Touch Base Policy on 24 October 1980, which all illegal immigrants from China that failed to present valid Hong Kong Identity Card at random checks will be immediately sent back to Mainland China."
Indonesia,Kartu Tanda Penduduk – KTP (Resident Identification Card),"The card is issued to Indonesian citizens and foreign nationals with permanent residence in the Republic of Indonesia. Possession of KTP is compulsory for residents whose age is 17 or older, and residents who is married before the age of 17. The electronic version (e-KTP) is valid indefinitely, unless the data recorded on the card has changed (e.g. address, marital status, etc.)."
Iran,کارت شناسائی ملی (National Identity card),"The Iranian national identity card is compulsory for citizens and permanent residents, aged 15 and over."
Iraq,"Iraq National Card
البطاقة الوطنية (Arabic)
كارتى نيشتيمانى (Kurdish)","The National Card is an electronic biometric ID card, compulsory for all Iraqi citizens starting in 2016 and costs 5,000 dinars."
Israel,"Teudat Zehut
תעודת זהות‎ (Hebrew)
بطاقة هوية (Arabic)",The Teudat Zehut is first issued at age 16 and is compulsory by 18.
Ivory Coast,Carte Nationale d'Identité (CNI) National Identity Card,Compulsory at the age of 15.[37]
Jordan,بطاقة شخصية (Personal card),First issued at age 16 and is compulsory by 18.
Kazakhstan,Jeke kuälık (Identity card),The identity cards have been issued since 1994 and compulsory for all citizens at age 16. Biometric since 2009.
Kenya,Kitambulisho,"All citizens (and permanent residents) are issued a national identification card at age 18. As at November 2023, IDs in Kenya cost about 2000 shillings (approx. $13.20). ID cards are the most common forms of identification, although passports can also be used interchangeably in most instances. As of Autumn 2019 there is a new National Integrated Identity Management System (NIIMS) – better known as Huduma Namba, which has caused controversy.[38]"
Kiribati,Identity card,Mandatory national identity card was decided in Kiribati in 2018 and introduced soon after.[39][40] Age limit is 18.
Kosovo,Letërnjoftim / Лична карта (National identity card),Biometric national ID cards compulsory to all Kosovar citizens.
Kuwait,بطاقة المدني (Kuwaiti identity card),All residents of Kuwait must have a Civil ID card. The legal ascendant(s) of newborns should apply for registration of the child within 60 days after birth. An expatriate must apply for a civil ID card within 30 days of getting his residency.[41][42][43]
Kyrgyzstan,Инсандык карта (National identity card),Compulsory at 16.[44] Biometric since 2018.
Laos,ບັດປະຈຳຕົວ (identity card),"There is a compulsory identity document issued in Laos. The document is issued by the police on behalf of the Ministry of Home Affairs and is the main form of identification on the territory of the Lao P.D.R. All Laotian are obliged by law to carry their identity cards with them at all times and are subject to fines should they not, all Laotian nationals must hold the new magnetic Identification Card. Biometric. Distribution of national ID cards started in 2015 and the card is compulsory for all national citizens aged 16 and above."
Lebanon,بطاقة هوية Lebanese identity card,"There is a compulsory identity document issued in Lebanon. The document is issued by the police on behalf of the Ministry of Interior and is the main form of identification on the territory of the Republic of Lebanon. All Lebanese are obliged by law to carry their identity cards with them at all times and are subject to fines should they not. As of 30 June 2006, all Lebanese nationals must hold the new magnetic Identification Card."
Lesotho,National ID card,Compulsory for all national citizens. ID cards were implemented in 2013.
Liberia,National identification card,New biometric national identity card have been rolled out in the late 2017.[45]
Luxembourg,Carte nationale d'identité / Personalausweis / National Identitéitskaart (National identity card),"First issued at age 15 and only issued to Luxembourg citizens, who are required by law to carry it at all times."
Macau,Bilhete de Identidade de Residente (Resident Identity Card),It is compulsory for all Macau residents at the age of 5.[46]
Madagascar,Kara-panondrom-pirenena / Carte nationale d'identité de citoyen malagasy,Possession is compulsory for Malagasy citizens from age 18 (by decree 78–277 (3 Oct 1978)).
Malawi,National Identification card (Chipaso cha Nzika),Biometric. Distribution of national ID cards started in 2017 and the card is compulsory for all national citizens aged 16 and above.
Malaysia,MyKad,"Issued at age 12, and updated at 18. MyPR for Permanent Resident. MyKas for temporary residents. Non-compulsory MyKid before age of 12. MyKad and MyPR must be carried at all times. Cards are differentiated by colour. MyKad is blue, MyPr is red and MyKas is green."
Maldives,Passport Card,"New biometric credit-sized passport cards replaced both driving licenses, health insurance cards and certain types of credit cards. They are compulsory for acquiring a passport book."
Mali,Carte nationale d'identité NINA (NINA National identity card),Compulsory to all Malian citizens.[47][48][49][50]
Malta,Karta tal-Identità / Identity card,"Issued at 14, updated at 16, compulsory at 18."
Mauritania,بطاقة الهوية الوطنية / Carte nationale d’identité (National Identity card),"Compulsory at 15. Biometric since 2013, with information displayed in Arabic, French and English[51]"
Mauritius,National Identity Card,"Every Mauritian citizen who has reached 18 years old has to apply for a National ID card, which is one of the few accepted forms of identification, including a passport."
Moldova,Buletin de identitate (Identity card),Compulsory at 16.
Monaco,Monégasque identity card,Compulsory for all Monégasque citizens.
Mongolia,Монгол Улсын иргэний үнэмлэхийн хуудас (Citizen Identity Card of Mongolia),"The national identity card is compulsory for all Mongol citizens. Electronic since 2012, with informations displayed both in Mongol and English.[52]"
Montenegro,"Lična karta (Лична карта, Identity card)","Compulsory at the age of 16, but can be issued at 14 and has to be carried at all times after turning 18. It is issued only to Montenegrin citizens with permanent residence in Montenegro. While it is the most often used official identification document, three other hold the same status — Passport, Driver's licence and Refugee ID card. Old style IDs, that refer to the no longer existing states of SFR Yugoslavia or FR Yugoslavia, are not valid since 2011."
Morocco,البطاقة الوطنية للتعريف الإلكترونية / Carte nationale d'identité électronique (CNIE) / National electronic identity card,"The national electronic identity card is the ID of the citizens of Morocco (in Arabic : البطاقة الوطنية للتعريف الإلكترونية). This is an official document which allows any citizen to prove his identity and therefore it is valid, his Moroccan nationality. It is compulsory for all citizens aged over 16 years, but it can be obtained at all ages. The 2008 version of the card is the first to have the form of a credit card. The replacement of the 2008 version for the new 2020 version is not compulsory.The Directorate General of National Security of Morocco announced it will issue a newer version of the national electronic identity card (NEIC) from 2020. The NEIC is biometric and provides citizens of a birth certificate, residence certificate, extract of birth and citizenship certificates."
Mozambique,Bilhete de identidade (Identity card),N/A
Myanmar,Citizenship Scrutiny Card,Myanmar citizens are required to have a Citizenship Scrutiny Card.[53]
Namibia,National ID card,Compulsory for all Namibia citizens. New identity cards replaced previous “SWA” IDs in 2016.
Nepal,राष्ट्रिय पहिचान कार्ड National Identity Card,New biometric cards rolled out in 2018. Information displayed in both English and Nepali.[54][55]
Niger,Carte nationale d'identité (National identity card),Compulsory.[56][57]
Nigeria,National identity card,Compulsory. Electronic since 2013.[58][59]
North Korea,National identity card.[60],"""Identity Card"", ""Travel Pass"" (with specified destination of travel and written permission)North Korea is probably the country which imposes the strongest fines for citizens not carrying ID cards. For travel, North Koreans need both an identity card, and a ""travel pass"", with specified destination and written permission. Sometimes citizens may be punished with time in a labour camp for not carrying their cards, however this is often only a short sentence and people are usually released upon presentation of the card at a later date. Although much is not known about the properties of the card, it is probably plastic and similar in size to most European ID cards. Between 2004 and 2008, all records were transferred to an electronic Korean-language central database. Obtaining a driving license in North Korea is not usual – except in the case of professional drivers, mechanics, and assistants – since few citizens own cars. Only government officials are issued passports because the state restricts citizens travel. North Koreans working abroad are issued contracts between North Korea and the host country to allow for travel, and government officers often accompany and supervise workers."
North Macedonia,Лична карта (Identity card),Issued by the ministry of interior to citizens with permanent residence in North Macedonia. It is compulsory at the age of 18.
Oman,بطاقة الهوية الوطنية (Identity Card),Compulsory for citizens turning 15. Biometric since 2014 with information displayed in both Arabic and English.[61][62]
Pakistan,Computerised National Identity Card (CNIC) and Juvenile Card,"Computerized National Identity Card (CNIC) and SNIC issued by National Database and Registration Authority (NADRA). The CNIC with a unique 13 digit identification number can be applied for aged 18 and above. For children under 18, NADRA provides Juvenile Card (previously known as Smart National Identity Card 'SNIC') but it is not valid for voting or polling . CNIC complies with ICAO standard 9303 and ISO standard 7816-4 and has English and Urdu translations, an integrated chip, QR code for more personal data, and more security features. The CNIC is not compulsory to carry all the time. But the card is mandatory for voting, domestic flights, opening bank accounts, for passport, driving license, firearms license and almost all substantial monetary transactions from car, land to high-value assets and to enter sensitive areas in country (courts, military controlled areas, airports police stations and private residences). However, law enforcement agencies can ask for CNIC during routine checking or after traffic violations."
Palestine,بطاقة هوية (identity card),"Identification Card. First made on the age of 16, The fields in it are identical to those in ID cards issued by Israeli Civil Administration prior to the Oslo accords, fields include Full name (four names), Mother name, date of birth, birthplace, Gender, Religion, place of issuance, and issue date. in addition to an appendix that includes address, marital status, name and ID number of and listing of partner, and previous name(s), in addition to a listing of children names. The document ""validity"" is incubated until the Israeli authorities approve it."
Panama,Cedula de Identidad (National identity card),"Cedula de Identidad. Required at 12 (cedula juvenil) and 18 years of age. Panamanian citizens must carry their Cedula at all times. New biometric national identity cards rolling out in 2019. The card must be renewed every 10 years (every 5 years for those under 18) and it can only be replaced 3 times (with each replacement costing more than the previous one) without requiring a background check, to confirm and verify that the card holder is not selling his or her identity to third parties for human trafficking or other criminal activities. All cards have QR, PDF417, and Code 128 barcodes. The QR Code holds all printed (on the front of the card) text information about the card holder, while the PDF417 barcode holds, in JPEG format encoded with Base64, an image of the fingerprint of the left index finger of the card holder. Panamanian biometric/electronic/machine readable ID cards are similar to biometric passports and current European/Czech national ID cards and have only a small PDF417 barcode, with a machine readable area, a contactless smart card RFID chip and golden contact pads similar to those found in smart card credit cards and SIM cards. The machine readable code contains all printed text information about the card holder (it replaces the QR Code) while both chips (the smart card chip is hidden under the golden contact pads) contain all personal information about the card holder along with a JPEG photo of the card holder, a JPEG photo with the card holder's signature, and another JPEG photo but with all 10 fingerprints of both hands of the card holder. Earlier cards used Code 16K and Code 49 barcodes with magnetic stripes.[63][64]"
Papua New Guinea,National identity card,E-National ID cards were rolled out in 2015.[65]
Paraguay,Cédula de identidad civil (Civil National Identity card),The Paraguayan national identity card is issued by the National Police and is compulsory for all citizens; with a cost of 8500 Paraguayan guaraní.
Peru,Documento Nacional de Identidad (National Identity Card),"National Document of Identification or Documento Nacional de Identidad (DNI). Citizens can have a minor DNI but at the age of 17 they are encouraged to renew their DNI to get an Adult DNI. At 18, it is compulsory."
Philippines,Pambansang Pagkakakilanlan (Philippine Identification Card),"Main article: Philippine identity card
The Philippine Identification System (PhilSys) ID also known as the Philippine identity card is issued to all Filipino citizens and resident aliens in the Philippines. The pilot implementation began in selected regions in 2018 and full implementation began in 2019.[66] The national ID card is not compulsory and will harmonize existing government-initiated identification cards issued including the Unified Multi-Purpose ID issued to members of the Social Security System, Government Service Insurance System, Philippine Health Insurance Corporation, and Home Development Mutual Fund (Pag-IBIG Fund).[67] This will also replace the Alien Certificate of Registration (ACR) Card for foreign residents and expatriates who are living in the Philippines permanently."
Poland,Dowód osobisty (Identity card),"At 18, Polish citizens with their permanent residence in Poland must obtain Polish National Identity Card, however at 13 years of age some form of identification is required. The ID Card is issued free of charge. Those who do not comply with the relevant law are subject to restriction of freedom (community sentence) for up to one month or a fine.[68] Pre-war Polish IDs were issued on-demand. Compulsory German ID cards (Kennkarte) were introduced during the Nazi-German occupation on 1939-10-26. Compulsory Polish IDs were introduced into Polish law in 1951.[69] In many circumstances, a Polish passport may be used as an equivalent form of identification. Polish citizens without their permanent residence in Poland may obtain the card at any issuing office in Poland. Residents of Poland who are not Polish citizens may use Polish government issued residence card, instead.[70] The oldest style of IDs, paper – similar to passports, is not valid since 2008-03-31. New style IDs issued after 2001 and before 2015 to people 65 years of age or older are valid indefinitely, otherwise the document is valid for ten years or five years (when issued under 18)."
Portugal,Cartão de Cidadão (Citizen card),"As of 2006 the government has issued the Cartão do Cidadão (Citizen Card). The older Bilhete de identidade which has been compulsory at 10, is still in limited use. All citizens starting at the age of 6 are required to obtain an identity card, but are not required to carry them. According to other sources it is required to carry them.[71]"
Qatar,Qatari ID Card,"As of 2014 the government has issued a Qatari ID Card to every Qatari citizen and resident over the age of 15. There are currently two types of cards in use, the smart card can be used to identify in government websites as well as for easier access to the country."
Romania,Carte de identitate (identity card),The Carte de identitate is compulsory at 14.
Russia,Internal passport of Russia,"A Russian identity document is issued to any citizen on request at the age of 14 and reissued at ages 20 and 45. People may use other documents for identity as well (e.g., driver's license, passport), but only in limited number of cases. Banks, post offices and authority offices require internal passport for identification."
Rwanda,Rwandan National Identity Card,"Compulsory for all Rwandan citizens living in the country, with a price of 1500 RWF. Valid for international travel to Kenya and Uganda.[72][73]"
Saint Vincent and the Grenadines,National Identity Card,Compulsory.[74]
San Marino,San Marino identity card,Compulsory for all Sanmarinese citizens.[75] Biometric and valid for international travel since 2016.
São Tomé and Príncipe,Bilhete de identidade (identity card),Compulsory. Issued since 2008.[76]
Saudi Arabia,"بطاقة الأحوال المدنية (Bitaqat Al-Ahwal Al-Madaniya, Iqama or Bataka)","Compulsory for men 17 and older and optional for teenage men aged 15–16. Optional for women but issued to women 18 and older. Compulsory for citizens, expatriates, and residents."
Senegal,Carte Nationale d'identité CEDEAO (CEDEAO National Identity card),Compulsory for all citizens. Biometric since 2017.
Serbia,Lična karta (Лична карта) (Identity card),"Compulsory for citizens 16 and older permanently residing in Serbia, and compulsory for non-citizens residing in Serbia. Optional for minors 10–15. Must be carried whenever in public. Although the identity card is the most commonly used identification document, three others will suffice: a passport, driver's licence, or refugee ID card. Cards referring to the former states SFR Yugoslavia and FR Yugoslavia were eliminated by the end of 2016."
Seychelles,National Identity card,"Compulsory for all Seychelles citizens, with a cost of SR50.[77]"
Sierra Leone,Sierra Leone identity card,"Compulsory for citizens and permanent residents with a price of 10,000 SLL every 5 years.[78][79]"
Singapore,National Registration Identity Card,"Compulsory for citizens and permanent residents 15 and older and must be renewed upon turning 30 and upon turning 55 if born after January 1962. The NRIC does not need to be carried at all times, and it need not be produced to police officers who are merely screening passers-by while on patrol. But it is sometimes necessary to produce one's NRIC: for example, when renewing one's passport, voting, and applying for public services. Notably, the NRIC includes the bearer's race, among typical demographic information.[80]"
Slovakia,Občiansky preukaz (citizen card),"Compulsory for citizens 15 and older and is used to identify the bearer in daily interaction with authorities.[81] The citizen card includes the bearer's photograph, birth date, address, and unique number."
Somalia,Warqadda Aqoonsiga (identity card),Compulsory for all Somali citizens. Electronic since 2014.[82][83]
South Africa,South African identity card,"Compulsory for citizens 16 and older, and compulsory for all non-citizen permanent residents. The older form of Identity Document, in the form of a green booklet, began being phased out in 2013.[84] Although passports and driver's licences are also acceptable forms of identification, banks only accept a national identity card. Your ID has a barcode, a photo, and a unique number. Demographic information including age and gender − but not race – is included, as is the bearer's criminal record, voting history, licence to drive, right to possess a firearm, and the like. A national identity card is necessary to obtain a passport, bank account, and driver's licence, and is also necessary to register to vote. Employers will typically photocopy a visitor's identity card to process her appointment. Because it is frequently necessary to produce a national identity card, many South African permanent resident carry their card at all times.As of January 2019, South Africans citizens born outside of South Africa, as well as permanent residents, still cannot apply for the new ID card, nor access the online services of Home Affairs."
South Korea,주민등록증 (Identity card),"Compulsory for citizens 17 and older. This card contains the citizen's unique resident registration number, which is required for government and private business, for example, opening bank accounts and creating online accounts with web sites and gaming networks.All citizens must submit and save their 10 fingerprints to the criminal database operated by National Police Agency and right thumb fingerprint to Ministry of Interior and Safety at the time of ID card application."
South Sudan,National ID,"Issued to every South Sudanese of at least eighteen years of age for purposes of employment or as required by a “competent authority.”[85] South Sudan also issues a second similar document known as the 'Nationality Certificate'. This latest one is the document granted to a South Sudanese National who is eligible for national status in accordance with the provisions of Chapter III of the Nationality Act, 2011[86]"
Spain,Documento Nacional de Identidad (DNI; National identification document),"Compulsory for anyone 14 and older. Minors younger than 14 can obtain a DNI, for example, to travel to other European countries. It is routinely used for identification and is often necessary to conduct public and private business. Many companies and government offices photocopy a bearer's DNI. Beginning in 2006, the DNI has been replaced by the DNI electrónico (electronic DNI).[87] Since 2015, the National identity card became fully biometric, releasing yet again, a new design.[88]"
